,0
0,111.5314698353352
1,154.38429892688194
2,158.7793009906757
3,125.2785950336757
4,134.6353095884452
5,174.6938877740073
6,172.18974289050323
7,212.8998613811741
8,170.2503762216786
9,126.6347792206312
10,118.73479391577017
11,163.70357536370736
12,147.14607406763778
13,135.7356850815743
14,140.1160670282698
15,124.83180486219176
16,218.71807036190805
17,142.05088565692643
18,146.88162615248754
19,141.54001563043244
20,189.80005013248027
21,164.52650190071023
22,134.0543136760256
23,125.56180877537572
24,197.2305727208498
25,193.62318715752951
26,192.43700893439868
27,126.63659095585274
28,156.69088344487633
29,178.37649233173406
