,0
0,135.03763251481752
1,139.8682084252635
2,182.03265689342712
3,173.0808779387721
4,138.50639543673242
5,130.6790947395064
6,175.44743964758698
7,189.59117751992085
8,254.42166119244467
9,126.90340172984003
10,196.31366553940558
11,267.56755300138093
12,268.1981461527962
13,155.62181490716853
14,165.27239308116847
15,148.06830625850964
16,158.25025493719403
17,204.76713981765883
18,223.12689801586689
19,141.04856480099554
20,133.15778908311418
21,170.35966139595155
22,149.87257862116113
23,175.51599373856834
24,141.57970717629826
25,184.26139152067873
26,152.98769446848235
27,136.3839042513753
28,160.1719515723638
29,154.47923060946425
